folder,source_file,direction,llm_sources,total_flowlets,train_size,test_size,feature_dim,train_class_distribution,test_class_distribution,kept_llm,kept_non_llm,skipped_llm_source,skipped_llm_direction,skipped_other,input_sources,model,accuracy,precision,recall,f1,cm_tn,cm_fp,cm_fn,cm_tp,non_llm_precision,non_llm_recall,non_llm_f1,non_llm_support,llm_precision,llm_recall,llm_f1,llm_support,macro_precision,macro_recall,macro_f1,macro_support,weighted_precision,weighted_recall,weighted_f1,weighted_support
chatgpt,bidirectional_models,both,chatgpt,87781,70025,17756,7,"[61189, 8836]","[14346, 3410]",12246,75535,21594,0,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,svm,0.8708605541788691,0.8294985250737463,0.41231671554252197,0.5508325171400588,14057,289,2004,1406,0.8752257020110827,0.979855011849993,0.9245897326273556,14346.0,0.8294985250737463,0.41231671554252197,0.5508325171400588,3410.0,0.8523621135424145,0.6960858636962575,0.7377111248837072,17756.0,0.8664439001775438,0.8708605541788691,0.8528104971682611,17756.0
chatgpt,bidirectional_models,both,chatgpt,87781,70025,17756,7,"[61189, 8836]","[14346, 3410]",12246,75535,21594,0,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,xgboost,0.9383307051137644,0.9257079808753218,0.7381231671554253,0.8213411649534997,14144,202,893,2517,0.9406131542195917,0.9859194200474,0.9627335534152401,14346.0,0.9257079808753218,0.7381231671554253,0.8213411649534997,3410.0,0.9331605675474568,0.8620212936014127,0.89203735918437,17756.0,0.9377506490887088,0.9383307051137644,0.9355794621416124,17756.0
chatgpt,incoming_models,incoming,chatgpt,82164,66767,15397,7,"[61454, 5313]","[14081, 1316]",6629,75535,21594,5617,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,random_forest,0.9671364551536014,0.9033864541832669,0.689209726443769,0.781896551724138,13984,97,409,907,0.9715834086014035,0.9931112847098927,0.9822294022617124,14081.0,0.9033864541832669,0.689209726443769,0.781896551724138,1316.0,0.9374849313923352,0.8411605055768309,0.8820629769929251,15397.0,0.9657545333650414,0.9671364551536014,0.9651067139907864,15397.0
chatgpt,incoming_models,incoming,chatgpt,82164,66767,15397,7,"[61454, 5313]","[14081, 1316]",6629,75535,21594,5617,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,svm,0.937000714424888,0.9832402234636871,0.2674772036474164,0.42054958183990443,14075,6,964,352,0.9358999933506217,0.999573893899581,0.9666895604395604,14081.0,0.9832402234636871,0.2674772036474164,0.42054958183990443,1316.0,0.9595701084071544,0.6335255487734986,0.6936195711397324,15397.0,0.9399462194225054,0.937000714424888,0.9200103234559177,15397.0
chatgpt,incoming_models,incoming,chatgpt,82164,66767,15397,7,"[61454, 5313]","[14081, 1316]",6629,75535,21594,5617,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,xgboost,0.9643437033188283,0.8683957732949087,0.6869300911854104,0.7670767925328807,13944,137,412,904,0.9713011981053218,0.9902705773737661,0.9806941660512712,14081.0,0.8683957732949087,0.6869300911854104,0.7670767925328807,1316.0,0.9198484857001152,0.8386003342795882,0.873885479292076,15397.0,0.9625057484040486,0.9643437033188283,0.9624360337170372,15397.0
chatgpt,outgoing_models,outgoing,chatgpt,81152,65696,15456,7,"[61384, 4312]","[14151, 1305]",5617,75535,21594,6629,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,random_forest,0.9572981366459627,0.8937728937728938,0.5609195402298851,0.6892655367231638,14064,87,573,732,0.9608526337364214,0.9938520245919016,0.9770737807419758,14151.0,0.8937728937728938,0.5609195402298851,0.6892655367231638,1305.0,0.9273127637546577,0.7773857824108934,0.8331696587325699,15456.0,0.9551888746362399,0.9572981366459627,0.9527732011324682,15456.0
chatgpt,outgoing_models,outgoing,chatgpt,81152,65696,15456,7,"[61384, 4312]","[14151, 1305]",5617,75535,21594,6629,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,svm,0.9260481366459627,0.6285714285714286,0.30344827586206896,0.40930232558139534,13917,234,909,396,0.9386887899635775,0.9834640661437354,0.9605549228698623,14151.0,0.6285714285714286,0.30344827586206896,0.40930232558139534,1305.0,0.7836301092675031,0.6434561710029022,0.6849286242256288,15456.0,0.9125045795199468,0.9260481366459627,0.9140108856376258,15456.0
chatgpt,outgoing_models,outgoing,chatgpt,81152,65696,15456,7,"[61384, 4312]","[14151, 1305]",5617,75535,21594,6629,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,xgboost,0.9569099378881988,0.8685121107266436,0.5770114942528736,0.6933701657458563,14037,114,552,753,0.9621632736993625,0.9919440322238711,0.9768267223382046,14151.0,0.8685121107266436,0.5770114942528736,0.6933701657458563,1305.0,0.915337692213003,0.7844777632383724,0.8350984440420304,15456.0,0.9542560035337699,0.9569099378881988,0.9528935697532528,15456.0
claude,bidirectional_models,both,claude,85633,67313,18320,7,"[59039, 8274]","[16496, 1824]",10098,75535,23742,0,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,random_forest,0.9439956331877729,0.7677852348993288,0.6271929824561403,0.6904043452021726,16150,346,680,1144,0.9595959595959596,0.9790252182347235,0.9692132269099202,16496.0,0.7677852348993288,0.6271929824561403,0.6904043452021726,1824.0,0.8636905972476442,0.8031091003454319,0.8298087860560464,18320.0,0.9404986472680855,0.9439956331877729,0.9414540893425113,18320.0
claude,bidirectional_models,both,claude,85633,67313,18320,7,"[59039, 8274]","[16496, 1824]",10098,75535,23742,0,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,svm,0.9115174672489083,0.7706666666666667,0.15844298245614036,0.2628467485220555,16410,86,1535,289,0.9144608526051825,0.9947866149369544,0.9529340030777271,16496.0,0.7706666666666667,0.15844298245614036,0.2628467485220555,1824.0,0.8425637596359246,0.5766147986965474,0.6078903757998912,18320.0,0.9001442262322648,0.9115174672489083,0.8842266257682542,18320.0
